iter	Logloss
0	0.6472623382
1	0.6146506598
2	0.5898368702
3	0.5730923873
4	0.5626972478
5	0.5537535235
6	0.5462387108
7	0.5409253503
8	0.5370637041
9	0.5330197535
10	0.5298688644
11	0.5281360017
12	0.527228422
13	0.526337336
14	0.5249803975
15	0.5232574092
16	0.5226268766
17	0.522108807
18	0.5214954381
19	0.5212602291
20	0.5203697654
21	0.5200233363
22	0.5197924581
23	0.5195878954
24	0.5194027658
25	0.5189485533
26	0.5188128638
27	0.5186774433
28	0.5185224824
29	0.5184025706
30	0.5182885862
31	0.5181886637
32	0.5178710385
33	0.5177743672
34	0.5175543984
35	0.5174700179
36	0.5173147381
37	0.5172309673
38	0.5170107307
39	0.5167396632
40	0.5166584801
41	0.5165039531
42	0.5163921138
43	0.5163832892
44	0.5162634967
45	0.5162161549
46	0.5161600151
47	0.5160588548
48	0.5159990919
49	0.5159738684
50	0.5159395019
51	0.5157895422
52	0.5157604799
53	0.5156525191
54	0.5155672688
55	0.5155075441
56	0.5154642954
57	0.5154153228
58	0.5153751925
59	0.5153442723
60	0.5152296527
61	0.5152007611
62	0.5151007241
63	0.5150536417
64	0.5150269145
65	0.5149954611
66	0.5149228105
67	0.5148294763
68	0.5146073362
69	0.5145340561
70	0.5143169092
71	0.5142425762
72	0.5141986302
73	0.514170983
74	0.5141200706
75	0.5140845069
76	0.5140590568
77	0.5139276753
78	0.5138811367
79	0.5138485097
80	0.5137749124
81	0.5137108932
82	0.5136888332
83	0.51367684
84	0.5136488243
85	0.513633012
86	0.5135465313
87	0.5135126485
88	0.5134081553
89	0.5133906582
90	0.5133672141
91	0.513267934
92	0.5131892068
93	0.513169452
94	0.513154193
95	0.5131371405
96	0.5130828918
97	0.5130723251
98	0.513054267
99	0.5129440933
100	0.5129280007
101	0.5128319649
102	0.5127585753
103	0.5127499915
104	0.5127366733
105	0.512717325
106	0.5126487086
107	0.5126325721
108	0.5126161567
109	0.5125603718
110	0.5125231394
111	0.5125013645
112	0.5124689431
113	0.5124604467
114	0.5123702326
115	0.5123383105
116	0.5123170566
117	0.5122863035
118	0.5122754212
119	0.5122558752
120	0.5122078839
121	0.5121871158
122	0.5121284051
123	0.5121123037
124	0.5120823506
125	0.5120681241
126	0.5120533782
127	0.5120092266
128	0.5119928075
129	0.5119638279
130	0.5118768218
131	0.5118613153
132	0.5118315677
133	0.5118144
134	0.5118068796
135	0.5117977961
136	0.5117421152
137	0.5117286659
138	0.5117086691
139	0.5117017826
140	0.511689332
141	0.5116772215
142	0.5116672758
143	0.5116600596
144	0.5116395474
145	0.5116320075
146	0.511595737
147	0.5115878604
148	0.5115770522
149	0.5115656083
150	0.5115426879
151	0.5115315211
152	0.5115157474
153	0.511508206
154	0.511489494
155	0.5114816291
156	0.5114727279
157	0.5114204409
158	0.5114123518
159	0.5114079425
160	0.5113933273
161	0.5113882649
162	0.5113827465
163	0.5113616801
164	0.5113530903
165	0.5113368266
166	0.5113277593
167	0.5113253517
168	0.5112921906
169	0.5112825686
170	0.5112684732
171	0.5112612887
172	0.5112586138
173	0.5112243828
174	0.5112212024
175	0.5111764009
176	0.5111623884
177	0.5111478024
178	0.5111172718
179	0.5110941997
180	0.5110760791
181	0.5110652544
182	0.5110430047
183	0.5110315337
184	0.5110247557
185	0.511022557
186	0.511001585
187	0.5109904157
188	0.5109796854
189	0.5109692468
190	0.5109638826
191	0.5109496253
192	0.510920052
193	0.5109157424
194	0.5109092429
195	0.5109024581
196	0.5108880718
197	0.5108732472
198	0.5108636663
199	0.5108588745
