iter	Passed	Remaining
0	161	32083
1	165	16376
2	169	11128
3	172	8473
4	176	6875
5	179	5811
6	183	5057
7	187	4490
8	190	4048
9	193	3684
10	197	3395
11	200	3144
12	203	2932
13	207	2750
14	210	2597
15	213	2460
16	217	2343
17	221	2239
18	225	2149
19	228	2058
20	232	1985
21	236	1911
22	239	1843
23	242	1781
24	246	1723
25	249	1670
26	252	1619
27	255	1570
28	258	1526
29	262	1486
30	265	1448
31	268	1411
32	272	1379
33	276	1348
34	279	1317
35	283	1289
36	286	1261
37	290	1237
38	294	1213
39	298	1192
40	301	1168
41	304	1146
42	308	1125
43	311	1105
44	314	1084
45	318	1064
46	321	1045
47	325	1030
48	328	1012
49	331	995
50	334	978
51	339	965
52	342	950
53	346	936
54	349	922
55	353	908
56	356	894
57	360	882
58	365	874
59	370	864
60	375	856
61	380	846
62	385	837
63	389	827
64	393	817
65	397	807
66	402	798
67	407	790
68	411	781
69	415	771
70	419	762
71	424	754
72	428	745
73	432	736
74	436	727
75	440	718
76	444	709
77	448	701
78	452	693
79	456	684
80	460	677
81	464	668
82	468	660
83	471	651
84	475	643
85	480	636
86	483	628
87	486	619
88	489	610
89	492	601
90	495	593
91	498	584
92	500	576
93	503	568
94	507	560
95	510	552
96	513	544
97	516	537
98	519	529
99	522	522
100	525	514
101	528	507
102	531	500
103	534	493
104	538	486
105	541	479
106	544	473
107	547	466
108	550	459
109	554	453
110	557	446
111	562	441
112	566	435
113	570	430
114	574	424
115	578	418
116	583	413
117	587	408
118	591	402
119	596	397
120	601	392
121	605	387
122	609	381
123	614	376
124	618	371
125	623	365
126	626	360
127	630	354
128	634	349
129	637	343
130	641	338
131	644	332
132	648	326
133	651	320
134	654	315
135	658	309
136	661	304
137	664	298
138	667	292
139	670	287
140	672	281
141	675	275
142	678	270
143	681	265
144	684	259
145	687	254
146	690	248
147	692	243
148	695	238
149	697	232
150	700	227
151	703	222
152	706	217
153	709	211
154	711	206
155	714	201
156	717	196
157	720	191
158	723	186
159	726	181
160	728	176
161	731	171
162	735	166
163	737	161
164	740	157
165	743	152
166	746	147
167	748	142
168	752	138
169	755	133
170	757	128
171	761	123
172	764	119
173	767	114
174	771	110
175	774	105
176	778	101
177	781	96
178	785	92
179	788	87
180	791	83
181	795	78
182	798	74
183	802	69
184	805	65
185	808	60
186	812	56
187	816	52
188	819	47
189	822	43
190	826	38
191	829	34
192	833	30
193	836	25
194	840	21
195	844	17
196	847	12
197	850	8
198	853	4
199	856	0
